rank,model_id,family,symbol,timeframe,side,lookback_bars,threshold,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,backtest_sample_gate_pass,execution_efficiency_proxy_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons
17,htf_trend_4h_trxusdt_lb48_th0p005_4p0x_0p1_0ff30e48,htf_trend_persistence,TRXUSDT,4h,long_only,48,0.005,4.0,0.1,0.4,-0.04285976472310027,0.07790400888193316,0.02393274371587628,0.11305422277873356,0.014237463727024391,0.010618758571760978,-0.47306741063676044,5.346202202831785,3.2023058506776314,234,43,34,691,190,143,-0.5501612219732628,-4.579034692638917,45.29302841972858,17.59760567343844,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.5502_below_0.50;train_return_per_turnover_proxy_bps_-4.579_not_above_10.000
18,htf_funding_squeeze_2h_solusdt_lb24_0p0_5p0x_0p1_7a6bd91d,funding_squeeze_continuation,SOLUSDT,2h,long_only,24,0.0,5.0,0.1,0.5,-0.13453275869481418,0.08905830179842344,-0.04542343971810947,0.1589866417752227,0.024863947343457093,0.04542343971810947,-1.2749410937037335,2.947672606614621,-5.3698939729610435,212,54,22,371,117,21,-1.5106144624149542,-12.691769688190016,32.984556221638314,-41.29403610737225,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-1.5106_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-12.692_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-41.294_not_above_10.000
19,htf_trend_1h_solusdt_lb48_th0p005_5p0x_0p15_6a878af4,htf_trend_persistence,SOLUSDT,1h,long_only,48,0.005,5.0,0.15,0.75,-0.17590305418433017,0.11150231600796223,-0.1394595397463203,0.358207046120422,0.08676186980454226,0.14120353986041712,-0.345260949011858,1.7410122058081876,-4.749506402351244,710,137,96,2841,663,419,-1.5775730987665688,-3.3033437405508015,10.851806910750582,-19.369380520322263,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-1.5776_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-3.303_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-19.369_not_above_10.000
20,htf_trend_6h_trxusdt_lb24_th0p01_4p0x_0p15_8863c59a,htf_trend_persistence,TRXUSDT,6h,long_only,24,0.01,4.0,0.15,0.6,-0.07345219844829076,0.0795839282373616,0.047172087334260926,0.12289068805152592,0.018362441395168183,0.012634190814200474,-0.4857862201992535,3.9154775599432607,3.7973872036993135,164,32,30,406,107,75,-0.9229526623669196,-7.464654313850688,41.44996262362584,26.206715185700514,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.9230_below_0.50;train_return_per_turnover_proxy_bps_-7.465_not_above_10.000
21,htf_funding_squeeze_2h_solusdt_lb24_5e-05_5p0x_0p1_0383e6bd,funding_squeeze_continuation,SOLUSDT,2h,long_only,24,5e-05,5.0,0.1,0.5,-0.13115506854749903,0.09030781346190286,-0.04191696338328699,0.16763398324645518,0.04020513122435254,0.047010449041473445,-0.9500941843511732,2.5695114919652706,-4.331141457577214,296,78,28,643,187,34,-1.4523114171380966,-8.861828955912097,23.15584960561612,-29.940688130919277,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-1.4523_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-8.862_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-29.941_not_above_10.000
22,htf_funding_squeeze_2h_solusdt_lb24_-2e-05_5p0x_0p1_6cea1402,funding_squeeze_continuation,SOLUSDT,2h,long_only,24,-2e-05,5.0,0.1,0.5,-0.15979891526081536,0.08640049044945108,-0.002111070136209592,0.18071306695533484,0.024863947343457093,0.010515077490524383,-1.6796280647903032,3.243067882863763,-0.5896190479269654,174,50,12,288,104,10,-1.8495139834224237,-18.367691409289122,34.560196179780434,-3.518450227015986,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_12_below_20;train_return_not_positive;train_validation_return_ratio_-1.8495_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-18.368_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-3.518_not_above_10.000
23,htf_funding_squeeze_4h_solusdt_lb12_0p0_5p0x_0p1_db3de3e3,funding_squeeze_continuation,SOLUSDT,4h,long_only,12,0.0,5.0,0.1,0.5,-0.14267829910625496,0.08521034809378336,-0.03319900559523037,0.17384731634563255,0.028427882584471265,0.03877699765838405,-1.3949912930147608,3.025133023793226,-3.7926699936587616,156,44,14,193,59,12,-1.6744245540368148,-18.292089629007048,38.73197640626517,-47.4271508503291,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_14_below_20;train_return_not_positive;train_validation_return_ratio_-1.6744_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-18.292_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-47.427_not_above_10.000
24,htf_trend_1h_ethusdt_lb12_th0p04_5p0x_0p15_4de5b1f1,htf_trend_persistence,ETHUSDT,1h,long_only,12,0.04,5.0,0.15,0.75,0.1270182360556884,0.06421463178100928,-0.010620649253575865,0.12953070900762864,0.03380186985110967,0.016772860414096646,0.8774564879996807,1.9650162071685615,-1.936131878711755,256,62,20,413,102,31,1.9780263863983185,6.615533127900438,13.809598232475114,-7.080432835717243,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_6.616_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-7.080_not_above_10.000
25,htf_funding_squeeze_4h_solusdt_lb12_-2e-05_4p0x_0p1_d8acba14,funding_squeeze_continuation,SOLUSDT,4h,long_only,12,-2e-05,4.0,0.1,0.4,-0.11734357610773305,0.07934701945488709,-0.009900720073121816,0.1464489634062286,0.018946629823233585,0.014475635766499129,-1.499367112017995,3.628528596631397,-2.544233148073627,130,40,10,152,53,6,-1.4788655820203678,-22.5660723284102,49.591887159304434,-24.75180018280454,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_10_below_20;train_return_not_positive;train_validation_return_ratio_-1.4789_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-22.566_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-24.752_not_above_10.000
26,htf_trend_1h_ethusdt_lb12_th0p02_4p0x_0p15_4c0efe1c,htf_trend_persistence,ETHUSDT,1h,long_only,12,0.02,4.0,0.15,0.6,-0.07376310096668914,0.08170937187555838,0.0060646994378639185,0.2097663035444487,0.03972555903825781,0.02064200948041206,-0.3624555863250465,2.248525568049052,0.533271445639464,698,127,48,1213,243,86,-0.9027495778455961,-1.7612965846869424,10.723014681831808,2.105798415924972,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.9027_below_0.50;train_return_per_turnover_proxy_bps_-1.761_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_2.106_not_above_10.000
27,htf_trend_6h_trxusdt_lb48_th0p005_5p0x_0p15_f6c41521,htf_trend_persistence,TRXUSDT,6h,long_only,48,0.005,5.0,0.15,0.75,-0.11464995869292915,0.08571666247290488,0.002285853745374933,0.15411690501593323,0.04197435636960822,0.05039796351648185,-0.6839639783389482,3.1515865743164286,0.21070039334208013,177,24,30,464,107,121,-1.3375457628109368,-8.636531728280916,47.62036804050271,1.0159349979444146,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,validation_trade_event_count_24_below_30;train_return_not_positive;train_validation_return_ratio_-1.3375_below_0.50;train_return_per_turnover_proxy_bps_-8.637_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_1.016_not_above_10.000
28,htf_trend_4h_trxusdt_lb48_th0p02_5p0x_0p1_dede70d0,htf_trend_persistence,TRXUSDT,4h,long_only,48,0.02,5.0,0.1,0.5,0.0005249909738715974,0.06772430501025628,0.015413414657354574,0.06669181322502438,0.01942542637913336,0.016015164774312196,0.05194784776678313,4.035687131410974,1.8083078507745007,186,39,26,534,142,95,0.007751884257684032,0.05645064235178467,34.730412825772454,11.856472813349672,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_validation_return_ratio_0.0078_below_0.50;train_return_per_turnover_proxy_bps_0.056_not_above_10.000
29,htf_trend_2h_trxusdt_lb48_th0p005_5p0x_0p15_b59ca1f5,htf_trend_persistence,TRXUSDT,2h,long_only,48,0.005,5.0,0.15,0.75,-0.07877550313576676,0.07627710608003624,0.03973159840004348,0.1615809180653952,0.02612444050501217,0.022505087513429167,-0.42667497760142076,3.257729608399387,2.6816438469758053,350,71,56,1237,311,237,-1.0327542192425208,-3.00097154802921,14.324339169959858,9.459904380962731,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-1.0328_below_0.50;train_return_per_turnover_proxy_bps_-3.001_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_9.460_not_above_10.000
30,htf_funding_squeeze_2h_solusdt_lb6_-2e-05_5p0x_0p1_67052918,funding_squeeze_continuation,SOLUSDT,2h,long_only,6,-2e-05,5.0,0.1,0.5,-0.16915172414360513,0.09224560344060295,-0.013395798016542892,0.19001857939001232,0.0522880057740398,0.01595205465013816,-1.7865918035454154,2.7365563612875543,-3.909565108528159,294,111,10,330,129,12,-1.8337104190827058,-11.506920009769056,16.620829448757288,-26.791596033085785,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_10_below_20;train_return_not_positive;train_validation_return_ratio_-1.8337_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-11.507_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-26.792_not_above_10.000
31,htf_trend_4h_trxusdt_lb24_th0p005_4p0x_0p15_777478b2,htf_trend_persistence,TRXUSDT,4h,long_only,24,0.005,4.0,0.15,0.6,-0.09953707982520521,0.07494792151506746,0.03848748323316542,0.17146122118783902,0.01959906345842688,0.010887256362350772,-0.7067722440418643,3.8063549758606516,3.595163165229059,244,51,34,618,155,119,-1.328083258522311,-6.798980862377404,24.492784808845578,18.866413349590893,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-1.3281_below_0.50;train_return_per_turnover_proxy_bps_-6.799_not_above_10.000
32,htf_funding_squeeze_4h_solusdt_lb12_5e-05_5p0x_0p1_8bbad391,funding_squeeze_continuation,SOLUSDT,4h,long_only,12,5e-05,5.0,0.1,0.5,-0.18539360690865536,0.09483036706858061,-0.02031015539152159,0.21501285356082844,0.06038340013738297,0.03198044517369558,-1.335362703638358,2.8933584398074315,-2.0576388842641795,224,60,16,331,93,17,-1.9550025233433936,-16.553000616844226,31.610122356193536,-25.387694239401988,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_16_below_20;train_return_not_positive;train_validation_return_ratio_-1.9550_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-16.553_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-25.388_not_above_10.000
33,htf_trend_6h_trxusdt_lb24_th0p005_5p0x_0p1_de2b572b,htf_trend_persistence,TRXUSDT,6h,long_only,24,0.005,5.0,0.1,0.5,-0.06660583106923268,0.06989520688060713,0.035086609874411145,0.09701190080492827,0.015315212170890713,0.01196236584451893,-0.5298105086191022,4.084028478926092,3.3386332885348877,174,34,26,434,117,88,-0.9529384637634272,-7.655842651635941,41.11482757682773,26.98969990339319,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.9529_below_0.50;train_return_per_turnover_proxy_bps_-7.656_not_above_10.000
34,htf_trend_4h_trxusdt_lb12_th0p005_4p0x_0p15_873db3ff,htf_trend_persistence,TRXUSDT,4h,long_only,12,0.005,4.0,0.15,0.6,0.06316545090468528,0.06328833401321465,-0.0021366659207835426,0.07255946588026307,0.028772421127054804,0.02046736633966517,0.5609500251970712,3.415972373774799,-0.26588997859855784,296,68,43,570,149,82,0.9980583608267566,3.556613226615162,15.511846571866336,-0.8281650855750164,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_3.557_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-0.828_not_above_10.000
35,htf_trend_6h_trxusdt_lb48_th0p02_5p0x_0p15_a2f6d62d,htf_trend_persistence,TRXUSDT,6h,long_only,48,0.02,5.0,0.15,0.75,-0.13246663342101106,0.07862614630027154,-0.007121675325685972,0.1918828438009602,0.03082568334587399,0.03096547750855838,-0.8907824872123533,3.1634243954699675,-0.4716666758669014,150,14,28,363,85,88,-1.6847656874231618,-11.774811859645427,74.8820440954967,-3.3912739646123677,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,validation_trade_event_count_14_below_30;train_return_not_positive;train_validation_return_ratio_-1.6848_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-11.775_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-3.391_not_above_10.000
36,htf_trend_4h_trxusdt_lb48_th0p01_4p0x_0p1_5a3f2000,htf_trend_persistence,TRXUSDT,4h,long_only,48,0.01,4.0,0.1,0.4,-0.04857115422698288,0.06669269582658455,0.01743508240610714,0.11073722654652296,0.016165061529777924,0.013069393352675651,-0.5516769225022671,4.6448222451604435,2.403248637941867,216,43,36,647,177,133,-0.7282829644985173,-5.6216613688637596,38.77482315499101,12.10769611535218,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.7283_below_0.50;train_return_per_turnover_proxy_bps_-5.622_not_above_10.000
37,htf_trend_2h_ethusdt_lb6_th0p04_5p0x_0p15_6ff0ac58,htf_trend_persistence,ETHUSDT,2h,long_only,6,0.04,5.0,0.15,0.75,0.0006400386466920427,0.071031784605464,-0.02097430171961001,0.10125505869589502,0.04310636463782247,0.02097430171961001,0.06938103237619635,1.9859291602895783,-6.329014133158482,172,48,16,196,49,16,0.009010595049062146,0.049615398968375406,19.731051279295556,-17.478584766341676,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_16_below_20;train_validation_return_ratio_0.0090_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_0.050_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-17.479_not_above_10.000
38,htf_trend_6h_trxusdt_lb24_th0p01_5p0x_0p1_c2bb2e20,htf_trend_persistence,TRXUSDT,6h,long_only,24,0.01,5.0,0.1,0.5,-0.06035700585597259,0.06601092418933563,0.039243647617941635,0.10279631767468278,0.015315212170890602,0.010525721637258179,-0.48578622019925355,3.9154775599432625,3.797387203699312,164,32,30,406,107,75,-0.9143487475323598,-7.36061047024056,41.25682761833477,26.162431745294423,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.9143_below_0.50;train_return_per_turnover_proxy_bps_-7.361_not_above_10.000
39,htf_trend_2h_solusdt_lb6_th0p04_5p0x_0p15_835a5edc,htf_trend_persistence,SOLUSDT,2h,long_only,6,0.04,5.0,0.15,0.75,0.08617490302944764,0.06680322173385944,-0.055251154485442266,0.1124628364805339,0.05466735739350104,0.05643546789929499,0.5459530153583644,2.147592914344025,-7.342874783496152,248,34,16,280,47,14,1.2899812433113476,4.633059302658475,26.197341856415466,-46.04262873786856,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_16_below_20;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_4.633_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-46.043_not_above_10.000
